date,cases
2020/11/14,1721
2020/11/15,1428
2020/11/16,949
2020/11/17,1685
2020/11/18,2173
2020/11/19,2382
2020/11/20,2425
2020/11/21,2570
2020/11/22,2146
2020/11/23,1513
2020/11/24,1219
2020/11/25,1925
2020/11/26,2494
2020/11/27,2510
2020/11/28,2667
2020/11/29,2046
2020/11/30,1425
2020/12/1,2014
2020/12/2,2419
2020/12/3,2505
2020/12/4,2435
2020/12/5,2496
2020/12/6,2010
2020/12/7,1502
2020/12/8,2166
2020/12/9,2801
2020/12/10,2966
2020/12/11,2795
2020/12/12,3010
2020/12/13,2375
2020/12/14,1681
2020/12/15,2400
2020/12/16,2990
2020/12/17,3206
2020/12/18,2832
2020/12/19,3040
2020/12/20,2398
2020/12/21,1791
2020/12/22,2674
2020/12/23,3270
2020/12/24,3797
2020/12/25,3934
2020/12/26,3702
2020/12/27,2942
2020/12/28,2397
2020/12/29,3609
2020/12/30,3884
2020/12/31,4500
2021/1/1,3248
2021/1/2,3057
2021/1/3,3139
2021/1/4,3330
2021/1/5,4958
2021/1/6,6066
2021/1/7,7793
2021/1/8,8045
2021/1/9,7528
2021/1/10,6130
2021/1/11,4901
2021/1/12,4630
2021/1/13,6086
2021/1/14,6749
2021/1/15,6795
2021/1/16,7028
2021/1/17,5758
2021/1/18,4947
2021/1/19,5355
2021/1/20,5643
2021/1/21,5743
2021/1/22,4821
2021/1/23,4711
2021/1/24,3988
2021/1/25,2760
2021/1/26,3851
2021/1/27,3968
2021/1/28,4122
2021/1/29,3547
2021/1/30,3330
2021/1/31,2673
2021/2/1,1782
2021/2/2,2321
2021/2/3,2648
2021/2/4,2574
2021/2/5,2371
2021/2/6,2277
2021/2/7,1627
2021/2/8,1215
2021/2/9,1568
2021/2/10,1885
2021/2/11,1689
2021/2/12,1297
2021/2/13,1355
2021/2/14,1360
2021/2/15,964
2021/2/16,1305
2021/2/17,1443
2021/2/18,1540
2021/2/19,1297
2021/2/20,1228
2021/2/21,1029
2021/2/22,739
2021/2/23,1078
2021/2/24,923
2021/2/25,1064
2021/2/26,1057
2021/2/27,1208
2021/2/28,994
2021/3/1,684
2021/3/2,887
2021/3/3,1240
2021/3/4,1168
2021/3/5,1145
2021/3/6,1045
2021/3/7,1061
2021/3/8,599
2021/3/9,1125
2021/3/10,1309
2021/3/11,1315
2021/3/12,1268
2021/3/13,1317
2021/3/14,982
2021/3/15,688
2021/3/16,1130
2021/3/17,1520
2021/3/18,1492
2021/3/19,1453
2021/3/20,1517
2021/3/21,1110
2021/3/22,817
2021/3/23,1485
2021/3/24,1924
2021/3/25,1914
2021/3/26,2030
2021/3/27,2073
2021/3/28,1753
2021/3/29,1340
2021/3/30,2077
2021/3/31,2832
2021/4/1,2598
2021/4/2,2745
2021/4/3,2755
2021/4/4,2460
2021/4/5,1554
2021/4/6,2654
2021/4/7,3460
2021/4/8,3457
2021/4/9,3511
2021/4/10,3742
2021/4/11,2848
2021/4/12,2098
2021/4/13,3444
2021/4/14,4302
2021/4/15,4570
2021/4/16,4519
2021/4/17,4791
2021/4/18,4089
2021/4/19,2892
2021/4/20,4328
2021/4/21,5280
2021/4/22,5474
2021/4/23,5118
2021/4/24,5602
2021/4/25,4604
2021/4/26,3303
2021/4/27,4958
2021/4/28,5788
2021/4/29,5895
2021/4/30,4658
2021/5/1,5990
2021/5/2,5882
2021/5/3,4458
2021/5/4,4199
2021/5/5,4055
2021/5/6,4352
2021/5/7,6032
2021/5/8,7239
2021/5/9,6491
2021/5/10,4925
2021/5/11,6237
2021/5/12,7057
2021/5/13,6866
2021/5/14,6269
2021/5/15,6420
2021/5/16,5247
2021/5/17,3676
2021/5/18,5228
2021/5/19,5811
2021/5/20,5711
2021/5/21,5250
2021/5/22,5034
2021/5/23,4035
2021/5/24,2710
2021/5/25,3896
2021/5/26,4526
2021/5/27,4131
2021/5/28,3706
2021/5/29,3587
2021/5/30,2876
2021/5/31,1786
2021/6/1,2640
2021/6/2,3031
2021/6/3,2825
2021/6/4,2586
2021/6/5,2648
2021/6/6,2017
2021/6/7,1276
2021/6/8,1883
2021/6/9,2224
2021/6/10,2044
2021/6/11,1934
2021/6/12,1941
2021/6/13,1384
2021/6/14,930
2021/6/15,1418
2021/6/16,1697
2021/6/17,1550
2021/6/18,1619
2021/6/19,1509
2021/6/20,1304
2021/6/21,864
2021/6/22,1432
2021/6/23,1775
2021/6/24,1669
2021/6/25,1705
2021/6/26,1619
2021/6/27,1280
2021/6/28,989
2021/6/29,1376
2021/6/30,1810
2021/7/1,1741
2021/7/2,1773
2021/7/3,1864
2021/7/4,1479
2021/7/5,1021
2021/7/6,1658
2021/7/7,2181
2021/7/8,2239
2021/7/9,2259
2021/7/10,2452
2021/7/11,2021
2021/7/12,1491
2021/7/13,2377
2021/7/14,3170
2021/7/15,3408
2021/7/16,3419
2021/7/17,3871
2021/7/18,3093
2021/7/19,2318
2021/7/20,3743
2021/7/21,4933
2021/7/22,5385
2021/7/23,4204
2021/7/24,3576
2021/7/25,5008
2021/7/26,4659
2021/7/27,7619
2021/7/28,9568
2021/7/29,10687
2021/7/30,10728
2021/7/31,12328
2021/8/1,10160
2021/8/2,8324
2021/8/3,12060
2021/8/4,14202
2021/8/5,15246
2021/8/6,15624
2021/8/7,15739
2021/8/8,14456
2021/8/9,12053
2021/8/10,10565
2021/8/11,15769
2021/8/12,18894
2021/8/13,20357
2021/8/14,20132
2021/8/15,17824
2021/8/16,14824
2021/8/17,19947
2021/8/18,23910
2021/8/19,25140
2021/8/20,25851
2021/8/21,25460
2021/8/22,22271
2021/8/23,16836
2021/8/24,21556
2021/8/25,24308
2021/8/26,24961
2021/8/27,24182
2021/8/28,22728
2021/8/29,19296
2021/8/30,13614
2021/8/31,17696
2021/9/1,20021
2021/9/2,18208
2021/9/3,16724
2021/9/4,15995
2021/9/5,12890
2021/9/6,8223
2021/9/7,10585
2021/9/8,12378
2021/9/9,10377
2021/9/10,8864
2021/9/11,8787
2021/9/12,6458
2021/9/13,3069
2021/9/14,6592
2021/9/15,6850
2021/9/16,5460
2021/9/17,4715
2021/9/18,4541
2021/9/19,3260
2021/9/20,1910
2021/9/21,1516
2021/9/22,3616
2021/9/23,3786
2021/9/24,1654
2021/9/25,2665
2021/9/26,2072
2021/9/27,1034
2021/9/28,1942
2021/9/29,2003
2021/9/30,1564
2021/10/1,1360
2021/10/2,1327
2021/10/3,868
2021/10/4,496
2021/10/5,1110
2021/10/6,1175
2021/10/7,908
2021/10/8,807
2021/10/9,783
2021/10/10,579
2021/10/11,282
2021/10/12,666
2021/10/13,734
2021/10/14,641
2021/10/15,516
2021/10/16,531
2021/10/17,425
2021/10/18,223
2021/10/19,367
2021/10/20,387
2021/10/21,334
2021/10/22,324
2021/10/23,277
2021/10/24,229
2021/10/25,147
2021/10/26,309
2021/10/27,310
2021/10/28,268
2021/10/29,291
2021/10/30,283
